cut_budget,realized_cut,seed,dataset,model,optimizer,params,collapse_label,train_time_sec,shots_used,n_segments,avg_seg_length,med_seg_length,sse,od,metric_type,metric_value
1.0,0.3324439969796124,2,geolife,random,none,0,healthy,3.1232151985168457,0,6611,4.004840417486008,4.0,18.185566252588963,0.050692031380782515,wValCR,0.17161747530640362
0.0,0.0,3,geolife,random,none,0,never_cut,0.7803590297698975,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,raw_ValCR,0.701877118185334
0.0,0.0,3,geolife,random,none,0,never_cut,0.7803590297698975,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,nValCR,0.00435443342187336
0.0,0.0,3,geolife,random,none,0,never_cut,0.7803590297698975,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,wValCR,0.0017621820692576803
0.02,0.019884218474704254,3,geolife,random,none,0,healthy,0.896784782409668,0,443,45.84198645598194,32.0,1.1915859006348948,0.05026003162671498,raw_ValCR,0.681443395050716
0.02,0.019884218474704254,3,geolife,random,none,0,healthy,0.896784782409668,0,443,45.84198645598194,32.0,1.1915859006348948,0.05026003162671498,nValCR,0.035296690316423816
0.02,0.019884218474704254,3,geolife,random,none,0,healthy,0.896784782409668,0,443,45.84198645598194,32.0,1.1915859006348948,0.05026003162671498,wValCR,0.014865049439012566
0.05,0.045154794865341054,3,geolife,random,none,0,healthy,1.0768892765045166,0,944,22.04343220338983,17.0,2.574219956170234,0.05065112338781451,raw_ValCR,0.6867459563272268
0.05,0.045154794865341054,3,geolife,random,none,0,healthy,1.0768892765045166,0,944,22.04343220338983,17.0,2.574219956170234,0.05065112338781451,nValCR,0.05676807270696876
0.05,0.045154794865341054,3,geolife,random,none,0,healthy,1.0768892765045166,0,944,22.04343220338983,17.0,2.574219956170234,0.05065112338781451,wValCR,0.031154220903114135
0.1,0.08295997986408256,3,geolife,random,none,0,healthy,1.379568099975586,0,1690,12.754437869822485,10.0,4.617496466244168,0.05054985463032761,raw_ValCR,0.6853729184742668
0.1,0.08295997986408256,3,geolife,random,none,0,healthy,1.379568099975586,0,1690,12.754437869822485,10.0,4.617496466244168,0.05054985463032761,nValCR,0.07933951354591692
0.1,0.08295997986408256,3,geolife,random,none,0,healthy,1.379568099975586,0,1690,12.754437869822485,10.0,4.617496466244168,0.05054985463032761,wValCR,0.05373603489777364
0.15,0.11688900075509691,3,geolife,random,none,0,healthy,1.6506669521331787,0,2358,9.424512298558101,8.0,6.55088199879078,0.050932783718595824,raw_ValCR,0.6905648073276449
0.15,0.11688900075509691,3,geolife,random,none,0,healthy,1.6506669521331787,0,2358,9.424512298558101,8.0,6.55088199879078,0.050932783718595824,nValCR,0.09752351072709067
0.15,0.11688900075509691,3,geolife,random,none,0,healthy,1.6506669521331787,0,2358,9.424512298558101,8.0,6.55088199879078,0.050932783718595824,wValCR,0.07327326714118645
0.2,0.14402214950918701,3,geolife,random,none,0,healthy,1.86456298828125,0,2897,7.8570935450466,7.0,7.993183421222428,0.05068903926338807,raw_ValCR,0.6872600332615404
0.2,0.14402214950918701,3,geolife,random,none,0,healthy,1.86456298828125,0,2897,7.8570935450466,7.0,7.993183421222428,0.05068903926338807,nValCR,0.10803927107359354
0.2,0.14402214950918701,3,geolife,random,none,0,healthy,1.86456298828125,0,2897,7.8570935450466,7.0,7.993183421222428,0.05068903926338807,wValCR,0.08747000774794317
0.3,0.19103951673798136,3,geolife,random,none,0,healthy,2.1681878566741943,0,3829,6.188038652389658,5.0,10.577749431810645,0.05079551926014104,raw_ValCR,0.688703726951016
0.3,0.19103951673798136,3,geolife,random,none,0,healthy,2.1681878566741943,0,3829,6.188038652389658,5.0,10.577749431810645,0.05079551926014104,nValCR,0.12699069625018
0.3,0.19103951673798136,3,geolife,random,none,0,healthy,2.1681878566741943,0,3829,6.188038652389658,5.0,10.577749431810645,0.05079551926014104,wValCR,0.11129596397802989
0.4,0.22129373269569594,3,geolife,random,none,0,healthy,2.368880033493042,0,4427,5.487237406821776,5.0,12.149151212998813,0.05067218085357057,raw_ValCR,0.6870314609417593
0.4,0.22129373269569594,3,geolife,random,none,0,healthy,2.368880033493042,0,4427,5.487237406821776,5.0,12.149151212998813,0.05067218085357057,nValCR,0.13658186758789267
0.4,0.22129373269569594,3,geolife,random,none,0,healthy,2.368880033493042,0,4427,5.487237406821776,5.0,12.149151212998813,0.05067218085357057,wValCR,0.12520534651692608
0.5,0.24988673546438459,3,geolife,random,none,0,healthy,2.542330026626587,0,4992,4.979366987179487,4.0,13.702552782393006,0.05066070700600745,raw_ValCR,0.6868758944332505
0.5,0.24988673546438459,3,geolife,random,none,0,healthy,2.542330026626587,0,4992,4.979366987179487,4.0,13.702552782393006,0.05066070700600745,nValCR,0.14590423320430287
0.5,0.24988673546438459,3,geolife,random,none,0,healthy,2.542330026626587,0,4992,4.979366987179487,4.0,13.702552782393006,0.05066070700600745,wValCR,0.13794442068675974
